구분,항목,값
기본정보,초기자금,"100,000,000원"
기본정보,최종가치,"88,344,504.74290168원"
기본정보,총수익률,-11.66%
기본정보,수수료,0.15%
샤프비율,샤프비율,-0.4070704190541152
수익률분석,평균수익률,-0.013%
수익률분석,연환산수익률,-3.18%
드로다운분석,최대드로다운,31.99%
드로다운분석,최대드로다운기간,857일
거래분석,총거래수,3
거래분석,승률,33.3%
거래분석,수익거래,1
거래분석,손실거래,2
SQN,SQN,-0.6269480413330262
