구분,항목,값
기본정보,초기자금,"100,000,000원"
기본정보,최종가치,"127,075,831.6920536원"
기본정보,총수익률,27.08%
기본정보,수수료,0.15%
샤프비율,샤프비율,0.306115922751047
수익률분석,평균수익률,0.025%
수익률분석,연환산수익률,6.45%
드로다운분석,최대드로다운,31.65%
드로다운분석,최대드로다운기간,704일
거래분석,총거래수,8
거래분석,승률,12.5%
거래분석,수익거래,1
거래분석,손실거래,6
SQN,SQN,0.3115202806603831
